Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2020,97.7,33.2,9.35,,,0.12,0,0.68,85,702.888,,,,-2.3511007,516.747871,60,652230,33.93911,67.709953
Albania,2020,100,81.3,,,,0,0,5.31,100,11158.003,,,,-3.9553979,5246.29231,105,28748,41.153332,20.168331
Algeria,2020,99.80413,99.7,15.64,,,72.01,0,0.72,0.9899628,14933.807,,,0.29789943,-5.1,3306.85821,18,2381741,28.033886,1.659626
Angola,2020,46.89061,50.2,115.43,,,4.49,0,12.1,72.9355,3527.16,,,,-5.3999874,1776.16687,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2020,100,100,167.98,,,0.31,0,0.02,6.060606,27785.227,,,,-20.192371,13992.7445,223,443,17.060816,-61.796428
Argentina,2020,100,99.9,311.28,,,91.58,10.06,37.05,33.967842,19314.066,,,12.179417,-9.895269,8579.01777,17,2780400,-38.416097,-63.616672
Armenia,2020,100,98.1,484.04,,,2.98,2.55,1.92,59.999996,17086.047,,,,-7.4,4266.01807,104,29743,40.069099,45.038189
Aruba,2020,100,,356.86,,,0.73,0,0.15,17.045456,43496.94,,,,,,590,179,12.52111,-69.96833
Australia,2020,100,100,,,,186.92,0,63.99,25.503168,61826.21,,,10.789811,-0.0038366,51692.8428,3,7741220,-25.274398,133.775136
Austria,2020,100,100,,,,13.77,0,55.42,80.098274,45028.27,,,38.26067,-6.7345141,48586.8013,109,83871,47.516231,14.550072
Azerbaijan,2020,100,96.8,127.35,,,23.16,0,1.22,5.0041018,17803.629,,,1.9758317,-4.3,4221.40748,123,86600,40.143105,47.576927
Bahamas,2020,100,100,5.68,,,1.99,0,0,0,33301.77,,,,,,41,13878,25.025885,-78.035889
Bahrain,2020,100,100,6.13,,,29.85,0,0.01,0.03348962,156095.8,,,,-5.0851802,20409.9528,"2,239",765,26.0667,50.5577
Bangladesh,2020,96.2,25,3.12,,,74.41,0,1.31,1.7300581,2730.078,,,0.6580818,3.50913588,1961.61375,"1,265",148460,23.684994,90.356331
Barbados,2020,100,100,174.06,,,0.93,0,0.07,7,21577.828,,,,-18.97951,15373.8547,668,430,13.193887,-59.543198
Belarus,2020,100,99.6,,,,34.59,0.34,1.27,4.4475136,29768.562,,,0.9897245,-0.9,6424.15218,47,207600,53.709807,27.953389
Belgium,2020,100,100,,,,30,34.43,23.46,65.866425,57433.73,,,10.637791,-5.6596599,45159.3482,383,30528,50.503887,4.469936
Belize,2020,97.113335,82.1,258.71,,,0.38,0,0.24,38.70968,7226.4336,,,,-14.010532,4115.17701,17,22966,17.189877,-88.49765
Benin,2020,41.410957,4,0.28,,,0.22,0,0.01,4.347826,2518.621,,,,3.8487924,1291.04097,108,112622,9.30769,2.315834
Bermuda,2020,100,,,,,0,0,0,,46161.586,,,,-6.3440802,107079.48,1281,54,32.299507,-64.790337
Bhutan,2020,100,80.2,3026.4,,,0,0,8.95,100,26593.059,,,,-10.076341,3000.77933,20,38394,27.514162,90.433601
Bosnia and Herzegovina,2020,100,45.2,,,,10.82,0,4.9,31.170483,19464.836,,,,-3.1969501,6079.73829,64,51197,43.915886,17.679076
Botswana,2020,71.99476,64.7,2.61,,,2.05,0,0.01,0.48543692,8843.107,,,,-8.4928935,6404.89993,4,581730,-22.328474,24.684866
Brazil,2020,100,95.9,705.9,,,81.15,13.21,520.01,86.79134,15921.327,,,49.47188,-4.0590483,6796.84454,25,8515770,-14.235004,-51.92528
Bulgaria,2020,99.7,,,,,16.12,16.63,7.47,59.920437,27993.87,,,10.692997,-4.3871498,10079.2034,64,110879,42.733883,25.48583
Burkina Faso,2020,18.95724,10.6,4.68,,,1.43,0,0.21,12.804878,878.9815,,,,1.93032489,857.93273,76,274200,12.238333,-1.561593
Burundi,2020,11.735556,0.2,4.83,,,0.11,0,0.24,68.57143,289.06625,,,,0.29757712,238.990726,463,27830,-3.373056,29.918886
Cambodia,2020,86.4,36.8,95.03,,,3.83,0,4.62,54.674557,3918.6375,,,,-3.1475891,1543.66926,95,181035,12.565679,104.990963
Cameroon,2020,64.72137,21.9,29.82,,,2.84,0,5.45,65.74186,1758.1206,,,,0.49191474,1537.13022,56,475440,7.369722,12.354722
Canada,2020,100,100,,,,102.19,92.65,429.24,83.625496,100497.28,,,30.54215,-5.2330243,43294.6482,4,9984670,56.130366,-106.34677
Cayman Islands,2020,100,,193.81,,,0.67,0,0.02,2.8985507,41981.38,,,,-6.7302874,85082.5269,274,264,19.3299,81.2524
Central African Republic,2020,15.465084,0.8,3.97,,,0,0,0.15,100,280.73853,,,,0.82901,492.795871,8,622984,6.611111,20.939444
Chad,2020,11.080117,6.8,0.2,,,0.28,0,0.01,3.448276,372.5109,,,,-0.9473049,659.270045,13,1284000,15.454166,18.732207
Chile,2020,100,100,669.29,,,43.69,,34.06,43.807076,22925.926,,,26.557531,-5.7715017,13231.7042,26,756096,-35.675147,-71.542969
China,2020,100,79.4,621.74,,,5184.13,366.2,2184.94,32.980618,29133.936,,,14.242872,2.34751357,10434.7752,153,9596960,35.86166,104.195397
Colombia,2020,100,93.2,266.33,,,27.17,0,49.97,64.77833,10064.389,,,30.772787,-6.7957581,5334.55604,46,1138910,4.570868,-74.297333
Comoros,2020,86.73714,8.4,1.66,,,0.13,0,0,0,1578.0629,,,,-0.1288355,1420.66175,467,2235,-11.6455,43.3333
Congo,2020,49.5171,34.9,41.1,,,2.87,0,0.96,25.065275,2379.556,,,,,,18,2345409,-4.1128,13.7289
Costa Rica,2020,99.9,95.7,613.34,,,0.19,0,11.55,98.38161,11486.324,,,,-4.0636765,12140.8542,100,51100,9.748917,-83.753428
Croatia,2020,100,100,,,,4.69,0,8.55,64.57704,22304.447,,,25.170088,-8.0997613,14134.1627,73,56594,45.1,15.2
Cuba,2020,100,93.8,105.79,,,15.47,0,3.13,16.827957,9007.181,,,,-10.948341,9477.85287,106,110860,21.521757,-77.781167
Cyprus,2020,100,100,,,,4.25,0,0.6,12.371135,22852.852,,,5.661981,-5.2289881,27527.8453,131,9251,35.126413,33.429859
Czechia,2020,100,100,,,,39.72,30.04,10.39,50.442917,42025.31,,,6.691049,,,136,78871,49.817492,15.472962
Denmark,2020,100,100,,,,5.28,0,23.45,81.622,29380.422,,,37.272453,-2.062125,61063.3164,137,43094,56.26392,9.501785
Djibouti,2020,61.767082,9.65,0.37,,,0.05,0,0,0,2701.7908,,,,0.5,3425.48418,43,23200,11.825138,42.590275
Dominica,2020,100,88.9,98.83,,,0.12,0,0.04,25,10056.246,,,,-16.604912,7003.85902,96,751,15.414999,-61.370976
Dominican Republic,2020,100,91.5,120.72,,,13.74,0,2.9,17.427885,9496.668,,,,-6.7202394,7268.19691,225,48670,18.735693,-70.162651
Ecuador,2020,98.85,94.3,300.29,,,6.45,0,24.83,79.37979,10374.727,,,36.035774,-7.7501234,5600.38962,71,283561,-1.831239,-78.183406
Egypt,2020,100,99.9,58.35,,,168.46,0,20.83,11.004279,9153.989,,,6.564624,,,103,1001450,26.820553,30.802498
El Salvador,2020,100,91.8,232.16,,,1.29,0,4.97,79.39297,6715.608,,,,-8.5813122,3798.63652,313,21041,13.794185,-88.89653
Equatorial Guinea,2020,66.74773,24.5,90.68,,,0.92,0,0.49,34.751774,11328.123,,,,-4.8933565,7143.23871,50,28051,1.650801,10.267895
Eritrea,2020,52.171097,9.3,6.49,,,0.41,0,0.01,2.3809524,881.5875,,,,,,35,117600,15.179384,39.782334
Estonia,2020,100,100,,,,3.11,0,2.97,48.848686,44218.28,,,14.138368,-2.9510693,23027.027,31,45228,58.595272,25.013607
Eswatini,2020,79.7305,55.4,145.7,,,0.04,0,0.7,94.5946,5614.8906,,,,-1.8505247,3424.28221,67,17364,-26.522503,31.465866
Ethiopia,2020,51.093983,7.8,40.99,,,0.01,0,14.22,99.929726,860.0999,,,,6.05661779,936.340461,115,1104300,9.145,40.489673
Fiji,2020,100,51.4,236.38,,,0.4,0,0.7,63.636364,9030.606,,,,-15.711804,5057.63191,49,18274,-17.713371,178.065032
Finland,2020,100,100,,,,9.82,23.29,35.93,85.77636,56636.78,,,33.16851,-2.8001359,48744.9881,18,338145,61.92411,25.748151
France,2020,100,100,,,,48.14,353.83,125.28,90.869606,38063.406,,,14.788747,-7.855256,39030.3604,119,643801,46.227638,2.213749
Gabon,2020,91.57156,88.1,149.56,,,1.19,0,1.01,45.90909,8367.068,,,,-1.8377609,6881.71519,9,267667,-0.803689,11.609444
Gambia,2020,62.273067,1.7,1.4,,,0.29,0,0,0,905.3456,,,,,,239,11300,13.466666,-16.566667
Georgia,2020,100,89.1,962.41,,,2.82,0,8.34,74.731186,18696.85,,,,-6.7604398,4266.6908,57,69700,42.315407,43.356892
Germany,2020,100,100,,,,251.4,64.38,251.48,55.681694,41377.68,,,21.122828,-4.5696167,46208.4295,240,357022,51.165691,10.451526
Ghana,2020,85.87355,22.2,54.28,,,12.82,0,7.38,36.534653,3484.1567,,,,0.41444346,2205.52902,137,238533,7.946527,-1.023194
Greece,2020,100,100,,,,30.61,0,17.55,36.44103,26343.523,,,16.707697,-9.0191291,17622.541,81,131957,39.074208,21.824312
Grenada,2020,93.58645,89.1,29.81,,,0.2,0,0,0,8918.377,,,,-13.707731,9261.55188,331,349,12.1165,-61.679
Guatemala,2020,97.05527,50.1,160.21,,,4.41,0,9.01,67.138596,5734.4775,,,,-1.519328,4603.33962,167,108889,15.783471,-90.230759
Guinea,2020,44.66868,1.9,29.06,,,0.71,0,2.49,77.8125,1356.6588,,,,6.98855997,1194.03787,53,245857,9.945587,-9.696645
Guinea-Bissau,2020,33.33547,1.1,0.59,,,0.08,0,0,0,656.3425,,,,-2.4,727.520172,70,36125,11.803749,-15.180413
Guyana,2020,92.54054,80.6,67.6,,,1.01,0,0.15,12.931036,13816.492,,,,43.4795559,6955.93922,4,214969,4.860416,-58.93018
Haiti,2020,46.925533,4.5,7.06,,,0.81,0,0.11,11.956522,977.08136,,,,-3.3433726,1272.36799,414,27750,18.971187,-72.285215
Honduras,2020,93.20671,48.3,187.32,,,5.46,0,5.85,51.724136,5048.4497,,,,-8.9647602,2389.01243,89,112090,15.199999,-86.241905
Hungary,2020,100,100,,,,13.2,16.06,5.52,62.047157,27724.254,,,5.8162417,-4.675687,15980.7409,107,93028,47.162494,19.503304
Iceland,2020,100,100,,,,0,0,18.78,100,155754.6,,,86.836586,-6.5039123,59270.1801,3,103000,64.963051,-19.020835
India,2020,99,67.9,97.29,,,1202.34,44.61,315.76,23.060581,6317.096,,,9.730037,-7.2517548,1927.70782,464,3287263,20.593684,78.96288
Indonesia,2020,96.95,84.5,38.58,,,238.91,,52.91,18.131039,7771.042,,,9.8601465,-2.0695435,3869.58843,151,1904569,-0.789275,113.921327
Iraq,2020,100,99,61.9,,,86.45,0,5.3,5.776567,12996.267,,,1.646885,-15.673093,4145.86294,93,438317,33.223191,43.679291
Ireland,2020,100,100,,,,18.51,0,13.46,42.10197,35630.062,,,20.549843,5.86697551,85267.7647,73,84421,53.41291,-8.24389
Israel,2020,100,100,,,,67.75,0,3.86,5.3903084,32593.809,,,4.053859,-2.1534285,44168.9436,400,20770,31.046051,34.851612
Italy,2020,100,100,,,,161.17,0,116.9,42.039772,27763.8,,,19.721262,-8.9385925,31714.221,206,301340,41.87194,12.56738
Jamaica,2020,100,82.7,85.65,,,3.43,0,0.64,15.724815,12098.731,,,,-10,4664.53024,273,10991,18.109581,-77.297508
Japan,2020,100,100,,,,716.67,41.86,205.6,25.666662,38029.27,,,11.155339,-4.5855083,40193.2524,347,377944,36.204824,138.252924
Jordan,2020,99.9,99.9,186.5,,,15.72,0,4.32,21.556887,9838.043,,,,-1.5513845,4282.76583,115,89342,30.585164,36.238414
Kazakhstan,2020,100,92.7,266.15,,,96.7,,11.94,10.990427,39590.598,,,3.9000363,-2.5,9122.23343,7,2724900,48.019573,66.923684
Kenya,2020,71.43794,19.5,40.74,,,0.92,0,10.83,92.17021,1902.1184,,,,-0.3161827,1878.5807,94,580367,-0.023559,37.906193
Kiribati,2020,91.96303,9.9,23.96,,,0.03,0,0,0,2417.654,,,,-1.9475566,1653.5403,147,811,1.8368976,-157.37683
Kuwait,2020,100,100,24.76,,,66.89,0,0.05,0.07469375,91131.37,,,0.03651947,-8.6852617,24811.7697,240,17818,29.31166,47.481766
Kyrgyzstan,2020,99.98105,76.6,563.61,,,1.37,0,14.8,91.52752,10439.837,,,,,,34,199951,41.20438,74.766098
Latvia,2020,100,100,,,,2.08,0,3.64,63.636368,21535.734,,,24.768972,-3.618566,17726.2529,30,64589,56.879635,24.603189
Lebanon,2020,100,,50.35,,,18.28,0,1.21,6.208312,18341.434,,,,-21.464266,4649.54765,667,10400,33.854721,35.862285
Lesotho,2020,47.352737,40.1,35.06,,,0,0,0.5,100,2092.5305,,,,-9.614037,875.353433,71,30355,-29.609988,28.233608
Liberia,2020,27.53471,0.4,18.7,,,0.36,0,0.53,59.55056,1030.0463,,,,-2.9829163,632.936386,53,111369,6.428055,-9.429499
Libya,2020,69.70735,,0.74,,,30.09,0,0.01,0.03322259,28032.594,,,,-31.3,3699.29477,4,1759540,26.3351,17.228331
Lithuania,2020,100,100,,,,1.96,0,2.57,56.73289,24924.742,,,10.144763,-0.1324315,20233.6414,43,65300,55.169438,23.881275
Luxembourg,2020,100,100,,,,0.25,0,0.97,79.508194,64241.79,,,6.848767,-1.7762402,116014.603,242,2586,49.815273,6.129583
Madagascar,2020,33.735077,1,7.12,,,1.29,0,0.68,34.517765,447.50406,,,,-7.1406116,471.491496,48,587041,-18.766947,46.869107
Malawi,2020,14.866769,1,21.43,,,0.21,0,1.5,87.7193,503.25735,,,,0.79999833,636.820537,203,118484,-13.254308,34.301525
Malaysia,2020,100,95.5,268.76,,,138.77,,30.54,18.037918,35997.363,,,7.1631722,-5.6469448,10412.349,99,329847,4.210484,101.975766
Maldives,2020,100,99.2,31.1,,,0.57,0,0.04,6.557377,17308.588,,,,-33.499902,6924.10575,"1,802",298,3.202778,73.22068
Mali,2020,50.561417,0.9,20.98,,,2.04,0,1.16,36.25,1142.8834,,,,-1.2354504,862.453019,17,1240192,17.570692,-3.996166
Malta,2020,100,100,,,,1.9,0,0.25,11.627907,72065.46,,,,-7.0011296,27884.6428,"1,380",316,35.937496,14.375416
Mauritania,2020,47.34842,42.6,26.22,,,1.29,0,0.48,27.118645,3884.7751,,,,-1.7633218,1701.99116,5,1030700,21.00789,-10.940835
Mauritius,2020,99.66165,96.8,198.16,,,2.17,0,0.57,20.80292,19245.18,,,,-14.894688,8627.84316,626,2040,-20.348404,57.552152
Mexico,2020,99.4,84.9,219.94,,,245.46,10.87,69.19,24.594496,16382.68,,,9.475372,-8.3090347,8329.27131,66,1964375,23.634501,-102.55278
Mongolia,2020,98.1,51.8,84.37,,,6.04,0,0.68,10.119048,20376.916,,,,-4.557752,4060.95052,2,1564116,46.862496,103.846656
Montenegro,2020,100,62.4,,,,1.62,0,1.77,52.212387,17942.342,,,,-15.306894,7677.15223,47,13812,42.708678,19.37439
Morocco,2020,100,98.1,93.52,,,31.36,0,7.02,18.290775,6551.4155,,,7.633952,-6.2932532,3058.69169,83,446550,31.791702,-7.09262
Mozambique,2020,30.603832,5.1,73.99,,,3.49,0,15.85,81.9545,2248.653,,,,-1.2339057,448.544281,40,799380,-18.665695,35.529562
Myanmar,2020,70.397194,31.25,63.36,,,12.25,0,11.31,48.005093,3183.1047,,,,3.1737744,1467.60428,83,676578,21.916221,95.955974
Namibia,2020,56.258694,46.8,197.35,,,0.06,0,1.89,96.92307,8960.352,,,,-8.500149,4179.27807,3,824292,-22.95764,18.49041
Nauru,2020,100,100,179.71,,,0.04,0,0,0,21142.482,,,,1.14942529,10580.2682,541,21,-0.522778,166.931503
Nepal,2020,89.9,34.8,46.78,,,0,0,6.33,100,1677.7975,,,,-2.0883787,1155.14285,203,147181,28.394857,84.124008
Netherlands,2020,100,100,,,,85.95,4.09,32.75,30.002443,56705.54,,,10.758958,-3.798636,52397.1167,508,41543,52.132633,5.291266
New Caledonia,2020,100,,697.36,,,2.73,0,0.42,13.333333,74262.35,,,,,,16,19060,-20.904305,165.618042
New Zealand,2020,100,100,,,,8.42,0,34.77,80.504745,47384.516,,,39.064182,1.86285153,41441.4667,18,268838,-40.900557,174.885971
Nicaragua,2020,88.90738,56.2,110.41,,,2,0,2.42,54.75113,4237.677,,,,-1.9773294,1905.26115,55,130370,12.865416,-85.207229
Niger,2020,19.25191,2.4,1.12,,,0.38,0,0.05,11.627907,442.419,,,,3.5800064,567.669892,19,1267000,17.607789,8.081666
Nigeria,2020,55.4,15,10.44,,,21.98,0,7.75,26.067945,2445.0652,,,,-1.7942531,2097.09247,226,923768,9.081999,8.675277
North Macedonia,2020,100,78.1,,,,3.86,0,1.48,27.715355,12822.86,,,14.441304,-5.2084441,5917.26258,83,25713,41.608635,21.745275
Norway,2020,100,100,,,,2.2,0,152.09,98.57412,103888.89,,,70.96306,-0.7171827,67329.6778,15,323802,60.472024,8.468946
Oman,2020,100,100,31.08,,,34.21,0,0.13,0.37856728,79038.305,,,0.2240027,-3.200936,14485.3861,16,309500,21.4735329,55.975413
Pakistan,2020,75.37969,49.3,56.17,,,84.55,9.64,42.69,38.230564,4301.192,,,12.021025,-0.9353895,1188.85976,287,796095,30.375321,69.345116
Panama,2020,96.704636,87.6,532.13,,,2.7,0,8.35,75.56561,27640.848,,,,-17.944864,12509.8353,58,75420,8.537981,-80.782127
Papua New Guinea,2020,60.4,9.4,37.26,,,3.36,0,1.28,27.586208,2163.8704,,,,-3.5,2757.21753,20,462840,-6.314993,143.95555
Paraguay,2020,100,68.6,1238.3,,,0.07,0,46.43,99.849464,18493.115,,,,-0.5656954,5001.07276,18,406752,-23.442503,-58.443832
Peru,2020,99.31181,85.1,201.09,,,19.1,0,33.72,63.839455,8365.432,,,30.744228,-11.148812,6126.87454,26,1285216,-9.189967,-75.015152
Philippines,2020,96.842384,48,62.39,,,79.27,0,23.21,22.648321,4565.3384,,,11.04473,-9.5730299,3298.82959,368,300000,12.879721,121.774017
Poland,2020,100,100,,,,128.91,0,28.23,17.964872,29514.133,,,7.769742,-2.5406587,15720.9947,124,312685,51.919438,19.145136
Portugal,2020,100,100,,,,21.43,0,30.11,58.420643,25782.078,,,31.723911,-8.4424564,22176.2967,111,92212,39.399872,-8.224454
Puerto Rico,2020,100,,126.71,,,16.67,0,0.47,2.7421238,21459.73,,,,-3.9033052,32290.9211,368,9104,18.25,-66.5
Qatar,2020,100,100,14.96,,,44.63,0,0.02,0.04479283,184074.56,,,0.07569663,-3.557604,50124.3859,248,11586,25.354826,51.183884
Romania,2020,100,87.7,,,,19.54,11.47,24.61,64.86876,18998.812,,,17.57964,-3.9304541,12896.0886,84,238391,45.943161,24.96676
Rwanda,2020,46.6,2.4,10.92,,,0.32,0,0.59,64.83516,496.8982,,,,-3.3554721,797.855521,525,26338,-1.940278,29.873888
Saint Kitts and Nevis,2020,100,100,77.83,,,0.2,0,0.01,4.7619047,19642.783,,,,,,205,261,17.357822,-62.782998
Saint Lucia,2020,100,94.3,20.89,,,0.33,0,0,0,12810.415,,,,,,301,616,13.909444,-60.978893
Saint Vincent and the Grenadines,2020,100,94.2,67.69,,,0.11,0,0.04,26.666666,7788.496,,,,,,284,389,12.984305,-61.287228
Samoa,2020,100,36.5,141.8,,,0.1,0,0.06,37.5,7222.1904,,,,-2.5926083,4067.84346,70,2831,-13.759029,-172.10463
Sao Tome and Principe,2020,76.55909,3.3,12.11,,,0.09,0,0.01,10,3207.423,,,,3.08972556,2157.84045,242,836,0.3301924,6.733343
Saudi Arabia,2020,100,100,11.85,,,337.82,,0.21,0.06212466,80309.99,,,0.01846389,-4.1065834,20110.3162,16,2149690,23.885942,45.079162
Senegal,2020,70.36894,24.2,14.69,,,4.23,0,1,19.120459,2532.4126,,,,1.49976343,1471.83096,87,196722,14.497401,-14.452362
Serbia,2020,100,79.8,,,,27.02,0,10.21,27.42412,26211.984,,,,-0.9445965,7720.51057,100,77474,44.016521,21.005859
Seychelles,2020,100,100,99.53,,,0.53,0,0.07,11.666666,43703.28,,,,-10.770921,10764.4204,214,455,-4.679574,55.491977
Sierra Leone,2020,26.200886,0.8,12.42,,,0.02,0,0.19,90.4762,480.5271,,,,-1.9689478,509.376594,111,71740,8.460555,-11.779889
Singapore,2020,100,100,93.64,,,50.04,0,0.83,1.63161,154256.3,,,0.30993885,-5.3910214,59797.7522,"8,358",716,1.352083,103.819836
Slovakia,2020,100,100,,,,6.22,15.44,6.85,78.18309,33193.33,,,10.48076,,,114,49035,48.669026,19.699024
Slovenia,2020,100,100,,,,4.96,6.35,5.58,70.633514,36542.867,,,19.160215,-4.2292614,25517.3307,103,20273,46.151241,14.995463
Solomon Islands,2020,73.34648,9.1,5.28,,,0.1,0,0,0,1877.3191,,,,-4.31726,2250.60116,25,28896,-9.64571,160.156194
Somalia,2020,49.73087,3.2,1.64,,,0.35,0,0.03,7.894737,212.09578,,,,2.44021097,438.255166,25,637657,5.152149,46.199616
South Africa,2020,84.38554,86.8,162.5,,,197.5,11.62,12.83,11.015995,23568.951,,,3.150246,-6.4319748,5655.86765,49,1219090,-30.559482,22.937506
South Sudan,2020,7.2413383,0,0.06,,,0.53,0,0.01,1.8518518,703.1351,,,,,,18,644329,6.8769919,31.3069788
Spain,2020,100,100,,,,87.64,58.3,113.79,66.25726,30391.29,,,22.102654,-10.822886,27063.1939,94,505370,40.463667,-3.74922
Sri Lanka,2020,100,32.2,109.83,,,9.64,0,5.94,38.1258,4853.1104,,,15.967422,-3.5690761,3680.67348,341,65610,7.873054,80.771797
Sudan,2020,55.3897,54.7,48.44,,,5.68,0,10.79,65.513054,2378.228,,,,-3.6298056,486.418816,25,1861484,12.862807,30.217636
Suriname,2020,98.20477,94.5,325.78,,,0.94,0,0.98,51.041668,20356.205,,,,-15.907951,4916.60567,4,163820,3.919305,-56.027783
Sweden,2020,100,100,,,,2.44,49.2,112.15,98.5103,59395.523,,,51.05897,-2.9481279,52274.4088,25,450295,60.128161,18.643501
Switzerland,2020,100,100,,,,3.62,22.99,40.79,94.62908,35766.375,,,36.21057,-2.392826,87097.0365,219,41277,46.818188,8.227512
Tajikistan,2020,99.7793,82.4,552.88,,,1.62,0,18.11,91.789154,7819.3896,,,,4.49999952,859.137961,68,144100,38.861034,71.276093
Thailand,2020,100,83.6,171.79,,,154.52,0,24.73,13.796373,19298.086,,,6.9914207,-6.0989838,7186.87409,137,513120,15.870032,100.992541
Togo,2020,53.997433,10.1,8.72,,,0.43,0,0.15,25.862072,1152.5186,,,,1.75282497,914.950793,152,56785,8.619543,0.824782
Tonga,2020,100,84.1,73.33,,,0.06,0,0.01,14.285714,6542.066,,,,0.6546986,4624.82345,147,747,-21.178986,-175.19824
Trinidad and Tobago,2020,100,100,2.15,,,8.2,0,0.01,0.12180268,108794.93,,,0.00731201,-7.8539399,15425.6351,273,5128,10.691803,-61.222503
Tunisia,2020,100,99.8,33.92,,,18.73,0,0.85,4.3411646,9290.702,,,,-9.1823726,3521.59195,76,163610,33.886917,9.537499
Turkey,2020,100,95.2,585.71,,,177.08,0,128.34,42.02082,21435.07,,,19.15011,1.7935514,8536.43332,110,783562,38.963745,35.243322
Turkmenistan,2020,100,99.9,0.2,,,20.11,0,0,0,67626.92,,,0.00716115,,,13,488100,38.969719,59.556278
Tuvalu,2020,99.68923,70.6,196.07,,,,,,,0,,,,4.4,4143.10975,393,26,-7.109535,177.64933
Uganda,2020,42.074417,0.5,25.89,,,0.13,0,4.32,97.07866,766.4143,,,,2.95130642,822.027682,229,241038,1.373333,32.290275
Ukraine,2020,100,94.9,,,,54.5,76.2,17.56,63.240257,20916.844,,,4.8960786,-4.0000061,3724.93844,75,603550,48.379433,31.16558
United Arab Emirates,2020,100,100,256.84,,,119.49,1.56,5.5,5.5788226,126073.66,,,1.0150354,-6.1345008,36284.5552,118,83600,23.424076,53.847818
United Kingdom,2020,100,100,,,,124.78,50.85,131.74,59.403976,29425.54,,,20.078987,-9.39616,41059.1688,281,243610,55.378051,-3.435973
United States,2020,100,100,,,,2431.9,789.88,821.4,39.8518,73236.14,,,10.532232,-3.4045916,63593.4436,36,9833517,37.09024,-95.712891
Uruguay,2020,100,100,1075.17,,,2.4,0,11.14,82.27474,17631.44,,,,-5.8587212,15438.4117,20,176215,-32.522779,-55.765835
Uzbekistan,2020,100,84.25,60.02,,,50.93,0,5.01,8.956025,15860.609,,,2.523421,1.71477058,1750.69711,79,447400,41.377491,64.585262
Vanuatu,2020,67.33327,7.6,37.84,,,0.05,0,0.02,28.571428,2923.538,,,,-6.8139911,2870.0893,25,12189,-15.376706,166.959158
Yemen,2020,73.75793,61.5,8.48,,,2.74,0,0.49,15.170279,1092.0021,,,,,,56,527968,15.552727,48.516388
Zambia,2020,44.524475,10.4,138.23,,,2,0,13.1,86.75497,3099.083,,,,-2.7850551,985.132436,25,752618,-13.133897,27.849332
Zimbabwe,2020,52.74767,30.4,80.61,30000,81.9,3.4,0,4.19,55.204216,2680.1318,10,,,-6.2487482,1214.50982,38,390757,-19.015438,29.154857